blockLot,fullAddress,neighborhood,councilDistrict,policeDistrict,Location 1,noticeDate
3207 065,1906 N MONROE ST,MONDAWMIN,7,WESTERN,"(39.3103052568, -76.648451997799995)",11/18/2010
4591 008,5115 WOOLVERTON AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.351685210399999, -76.669943017999998)",01/10/2013
0482 018,41 W PRESTON ST,MID-TOWN BELVEDERE,11,CENTRAL,"(39.3042145633, -76.618111611499998)",01/10/2012
2406 057,1707 POPLAR GROVE ST,NORTHWEST COMMUNITY ACTION,7,SOUTHWESTERN,"(39.307458802699998, -76.665399779099999)",01/20/2012
0097 055,1718 HARLEM AVE,HARLEM PARK,9,WESTERN,"(39.296693894000001, -76.644884382800001)",06/26/2012
4063 025,2412 LOCH RAVEN ROAD,EAST BALTIMORE MIDWAY,12,EASTERN,"(39.3170123612, -76.608547178199998)",05/18/2007
0193 034,17 N MONROE ST,FRANKLIN SQUARE,9,WESTERN,"(39.289022502999998, -76.646732054599994)",12/10/2010
0117 018,534 N PULASKI ST,MIDTOWN-EDMONDSON,9,WESTERN,"(39.294447509500003, -76.650669736400005)",08/24/2009
7065 023B,618 ANNABEL AVE,BROOKLYN,10,SOUTHERN,"(39.237353005800003, -76.600661668599997)",05/01/2012
0791 022,1147 CARROLL ST,WASHINGTON VILLAGE/PIGTOWN,10,SOUTHERN,"(39.281098436000001, -76.632311105799999)",02/13/2008
3935 059,2789 THE ALAMEDA,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,"(39.323101862599998, -76.592394561800006)",05/04/2007
1168 020,611 E BIDDLE ST,JOHNSTON SQUARE,12,EASTERN,"(39.303550098400002, -76.608497752399998)",04/27/2006
2406 072,1722 N DUKELAND ST,NORTHWEST COMMUNITY ACTION,7,SOUTHWESTERN,"(39.307816579300003, -76.663817807100003)",10/06/2006
0339 009,1716 DRUID HILL AVE,UPTON,11,CENTRAL,"(39.3053020145, -76.633036608699996)",03/16/2010
1573 011,1037 N MILTON AVE,BIDDLE STREET,13,EASTERN,"(39.303253729200001, -76.582330768299997)",05/11/2007
1569 009,2117 E CHASE ST,MIDDLE EAST,13,EASTERN,"(39.303314286099997, -76.587616669100001)",05/14/2010
0204 091,2220 BOOTH ST,BOYD-BOOTH,9,SOUTHWESTERN,"(39.287515937000002, -76.652333265099998)",05/09/2008
0791 032,1167 CARROLL ST,WASHINGTON VILLAGE/PIGTOWN,10,SOUTHERN,"(39.280841802899999, -76.632634182299995)",09/08/2008
0348 010,1618 DRUID HILL AVE,UPTON,11,CENTRAL,"(39.304599585600002, -76.632210286599999)",11/09/2012
3825 039,2421 BRENTWOOD AVE,BARCLAY,12,EASTERN,"(39.316833807800002, -76.610131332400002)",02/01/2006
2718 013,4009 BOARMAN AVE,DORCHESTER,6,NORTHWESTERN,"(39.333965665699999, -76.684537405499995)",09/30/2011
0003 028,1827 W NORTH AVE,SANDTOWN-WINCHESTER,7,WESTERN,"(39.309584631299998, -76.6473363116)",04/08/2011
7492C418,2432 HARRIET AVE,LAKELAND,10,SOUTHERN,"(39.2557712451, -76.651282180500004)",12/31/2012
1456 043,1745 E LAFAYETTE AVE,BROADWAY EAST,12,EASTERN,"(39.310532769300004, -76.5931530748)",03/20/2013
3004 051,2923 WALBROOK AVE,WALBROOK,7,SOUTHWESTERN,"(39.309993658300002, -76.666533826899993)",12/19/2007
0071 014,1926 W LAFAYETTE AVE,MIDTOWN-EDMONDSON,9,WESTERN,"(39.2989039542, -76.648519592200003)",04/27/2011
0118 063,514 N PAYSON ST,MIDTOWN-EDMONDSON,9,WESTERN,"(39.2941157096, -76.6492420111)",01/25/2012
0087 021,803 N GILMOR ST,HARLEM PARK,9,WESTERN,"(39.298114425100003, -76.642608791699999)",04/24/2009
0224 021,1931 HOLLINS ST,BOYD-BOOTH,9,SOUTHWESTERN,"(39.2869161693, -76.647762163899998)",03/09/2013
0125 046,517 N CALHOUN ST,HARLEM PARK,9,WESTERN,"(39.294606117699999, -76.639578720000003)",03/12/2009
4157 027,1922 N WASHINGTON ST,SOUTH CLIFTON PARK,12,EASTERN,"(39.312891992499999, -76.5907156942)",10/14/2011
2501 066,711 DENISON ST,EDGEWOOD,8,SOUTHWESTERN,"(39.295659538000002, -76.673562109900004)",04/01/2008
1536 018,1216 N MONTFORD AVE,BROADWAY EAST,13,EASTERN,"(39.305318891399999, -76.584364449199995)",10/13/2011
0094 027,2032 HARLEM AVE,MIDTOWN-EDMONDSON,9,WESTERN,"(39.296480070900003, -76.6500453994)",02/25/2008
3845 046,437 WHITRIDGE AVE,HARWOOD,12,NORTHERN,"(39.321386185500003, -76.610090585500004)",10/19/2007
2174A060,111 S CATHERINE ST,SHIPLEY HILL,9,SOUTHWESTERN,"(39.285282725000002, -76.655733767900003)",10/24/2007
1485 006,2411 E FEDERAL ST,BROADWAY EAST,13,EASTERN,"(39.308687644800003, -76.583927871300006)",01/31/2013
1587 090,2024 ASHLAND AVE,MIDDLE EAST,13,EASTERN,"(39.300898485300003, -76.588969718900003)",08/01/2011
1688 076,230 N MADEIRA ST,CARE,13,SOUTHEASTERN,"(39.295163787, -76.585818059499999)",05/16/2013
8030F003,4501 OLD FREDERICK ROAD,UPLANDS,8,SOUTHWESTERN,"(39.288577872200001, -76.693347300799999)",08/12/2012
0087 026,813 N GILMOR ST,HARLEM PARK,9,WESTERN,"(39.298343335200002, -76.642621774800006)",04/24/2009
1587 091,2022 ASHLAND AVE,MIDDLE EAST,13,EASTERN,"(39.300896377599997, -76.589025367000005)",03/03/2011
3312A021,2716 OSWEGO AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.335582368399997, -76.664601025400003)",09/13/2012
4123 039,1704 HOMESTEAD ST,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,"(39.320460162000003, -76.594479906199993)",03/03/2008
5213 023,537 RADNOR AVE,RICHNOR SPRINGS,4,NORTHERN,"(39.347539829900001, -76.607625422799998)",08/10/2012
3193 021,4501 UMATILLA AVE,LUCILLE PARK,6,NORTHWESTERN,"(39.339366026599997, -76.670631632699994)",05/17/2013
1686 006,2037 ORLEANS ST,CARE,13,SOUTHEASTERN,"(39.295187944299997, -76.588123714299996)",05/12/2006
1455 055,1809 N MILTON AVE,BEREA,13,EASTERN,"(39.311218887999999, -76.582626369300002)",11/06/2006
1521 003,2504 E PRESTON ST,BEREA,13,EASTERN,"(39.3060315894, -76.582492427999995)",07/01/2010
4131 027,1555 CARSWELL ST,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,"(39.322430506499998, -76.595539671099999)",06/03/2011
0275 115,1842 WILHELM ST,CARROLLTON RIDGE,9,SOUTHERN,"(39.283809107899998, -76.646280501199996)",02/15/2008
3307B003,4305 PARK HEIGHTS AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.338724949700001, -76.665266461200005)",09/15/2005
0055C039,1152 N CARROLLTON AVE,SANDTOWN-WINCHESTER,9,WESTERN,"(39.302341446, -76.637738013700002)",02/05/2008
0193 024,1839 W FAYETTE ST,FRANKLIN SQUARE,9,WESTERN,"(39.289288562899998, -76.646555982500004)",03/03/2011
6047 010,5508 FRANKFORD AVE,FRANKFORD,2,NORTHEASTERN,"(39.323061794700003, -76.540371464900005)",09/10/2013
2174A071,133 S CATHERINE ST,SHIPLEY HILL,9,SOUTHWESTERN,"(39.284881505400001, -76.655647850700007)",10/25/2007
5355 002,2608 SOUTHERN AVE,LAURAVILLE,3,NORTHEASTERN,"(39.346584458999999, -76.571907593600002)",07/01/2008
1473 046,1603 N BRADFORD ST,BROADWAY EAST,13,EASTERN,"(39.309287940399997, -76.584877883700003)",06/18/2013
1138 045,1426 N BROADWAY,OLIVER,12,EASTERN,"(39.307035138300002, -76.595173614299995)",02/15/2013
0161 001,2001 W SARATOGA ST,PENROSE/FAYETTE STREET OUTREACH,9,WESTERN,"(39.291699026800003, -76.649329586700006)",02/11/2008
1572 032,1026 N MILTON AVE,BIDDLE STREET,13,EASTERN,"(39.303036779700001, -76.582805345099999)",01/13/2012
0275 099,1810 WILHELM ST,CARROLLTON RIDGE,9,SOUTHERN,"(39.2838982106, -76.645567900200007)",11/18/2008
3941A024,1912 E 31ST ST,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,"(39.326620635700003, -76.588670546000003)",02/05/2010
3952 013,1825 E 29TH ST,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,"(39.324395117500003, -76.589681973699996)",05/23/2012
1606 058,2224 E MADISON ST,MIDDLE EAST,13,EASTERN,"(39.299951095700003, -76.585871807800004)",07/29/2011
0223 008,2015 HOLLINS ST,BOYD-BOOTH,9,SOUTHWESTERN,"(39.286853203699998, -76.649062041600004)",05/16/2008
0149 010,318 N MOUNT ST,FRANKLIN SQUARE,9,WESTERN,"(39.292544234600001, -76.644261275199995)",11/11/2004
0707 078,423 S VINCENT ST,NEW SOUTHWEST/MOUNT CLARE,9,SOUTHERN,"(39.282550548400003, -76.642605199299993)",08/25/2010
0244 005,1711 W LOMBARD ST,UNION SQUARE,9,SOUTHERN,"(39.286054991299999, -76.644396477300006)",06/05/2007
6471 009,1017 S CLINTON ST,CANTON,1,SOUTHEASTERN,"(39.281015638900001, -76.569338575200007)",08/22/2013
4608 014,3526 LUCILLE AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.342738511199997, -76.674456966199998)",08/04/2011
2153 097,4 N BENTALOU ST,PENROSE/FAYETTE STREET OUTREACH,9,WESTERN,"(39.2882641737, -76.653129294699994)",03/10/2011
3936 105,2762 FENWICK AVE,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,"(39.323610384200002, -76.5909453286)",07/29/2013
0215 030,1326 HOLLINS ST,UNION SQUARE,9,SOUTHERN,"(39.287818097799999, -76.638958767399998)",12/06/2012
1135 033,1415 N CENTRAL AVE,OLIVER,12,EASTERN,"(39.306604150299997, -76.600322857799995)",05/05/2008
3952 034,1818 E 28TH ST,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,"(39.324082822699999, -76.590108271999995)",11/20/2009
1125 015,1502 N CAROLINE ST,OLIVER,12,EASTERN,"(39.307475651499999, -76.598460695200004)",10/17/2008
2732 008,4102 MAINE AVE,CENTRAL FOREST PARK,8,NORTHWESTERN,"(39.328113437900001, -76.688241199800004)",07/19/2013
0397 012A,1313 DRUID HILL AVE,UPTON,11,CENTRAL,"(39.302447087499999, -76.628725822299998)",04/12/2006
7133 005,4036 6TH ST,BROOKLYN,10,SOUTHERN,"(39.230942863700001, -76.603382988600004)",06/08/2005
0260 117,1800 DOVER ST,CARROLLTON RIDGE,9,SOUTHERN,"(39.284861364400001, -76.645399174399998)",11/08/2005
0232 032,1324 W LOMBARD ST,UNION SQUARE,9,SOUTHERN,"(39.286809886699999, -76.638885297800002)",05/19/2009
1109 014,1719 N BOND ST,OLIVER,12,EASTERN,"(39.309970435300002, -76.596663940499994)",08/29/2013
4552 083,5206 DENMORE AVE,ARLINGTON,5,NORTHWESTERN,"(39.348615582299999, -76.6783546124)",12/13/2010
0452 033,837 HARLEM AVE,UPTON,11,CENTRAL,"(39.2966596646, -76.632134709599995)",02/10/2005
0079 001,1100 W LAFAYETTE AVE,SANDTOWN-WINCHESTER,9,WESTERN,"(39.299446404800001, -76.636037915800003)",04/22/2010
0003 030,1831 W NORTH AVE,SANDTOWN-WINCHESTER,7,WESTERN,"(39.309577724100002, -76.647438889699998)",03/09/2011
2307A042,1802 MORELAND AVE,COPPIN HEIGHTS/ASH-CO-EAST,7,WESTERN,"(39.3086528555, -76.656143413300001)",04/19/2013
0094 069,719 N PULASKI ST,MIDTOWN-EDMONDSON,9,WESTERN,"(39.297107025499997, -76.650317935700002)",05/05/2010
0092 030,1022 W LANVALE ST,HARLEM PARK,9,WESTERN,"(39.298222625299999, -76.634880855899993)",12/20/2011
3461 042,2407 BROOKFIELD AVE,RESERVOIR HILL,7,CENTRAL,"(39.3148672003, -76.633592824299996)",08/29/2007
0175 006,2111 W LEXINGTON ST,PENROSE/FAYETTE STREET OUTREACH,9,WESTERN,"(39.290249176899998, -76.650568667000002)",04/18/2006
2249A003,3908 OLD FREDERICK ROAD,ALLENDALE,8,SOUTHWESTERN,"(39.2843933288, -76.681029539600004)",11/13/2008
4616 026,3116 WOODLAND AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.346030594699997, -76.670533463699996)",08/31/2005
2470 048,2916 W LAFAYETTE AVE,FRANKLINTOWN ROAD,9,SOUTHWESTERN,"(39.2981623505, -76.666676230899995)",01/17/2013
2407 006,1810 POPLAR GROVE ST,NORTHWEST COMMUNITY ACTION,7,SOUTHWESTERN,"(39.308451752499998, -76.666027340799999)",04/20/2012
3211 013,2024 WALBROOK AVE,MONDAWMIN,7,WESTERN,"(39.310970062700001, -76.650728924899994)",02/27/2006
0098 021,714 N GILMOR ST,HARLEM PARK,9,WESTERN,"(39.296974487500002, -76.643131496500004)",10/23/2012
0177 020,1947 W LEXINGTON ST,PENROSE/FAYETTE STREET OUTREACH,9,WESTERN,"(39.2902886241, -76.648313009199995)",08/14/2012
0430 033,840 HARLEM AVE,UPTON,11,CENTRAL,"(39.297140863099997, -76.632010571500004)",10/11/2007
3013 054,2918 WALBROOK AVE,WALBROOK,7,SOUTHWESTERN,"(39.310487492199996, -76.666877087800003)",08/20/2012
2804A004,2106 MOUNT HOLLY ST,MOUNT HOLLY,7,SOUTHWESTERN,"(39.311170245699998, -76.682242035800002)",04/25/2005
4120 009,1649 GORSUCH AVE,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,"(39.320849385999999, -76.594492642299997)",03/08/2006
3163 022,2821 OSWEGO AVE,TOWANDA-GRANTLEY,6,NORTHWESTERN,"(39.334404149299999, -76.665709864500002)",07/19/2013
1168 025,601 E BIDDLE ST,JOHNSTON SQUARE,12,EASTERN,"(39.303533062200003, -76.608771672000003)",09/07/2012
2441 044,3207 GRAYSON ST,ROSEMONT,9,SOUTHWESTERN,"(39.306182207399999, -76.671453738500006)",09/18/2012
4621 022,4742 PARK HEIGHTS AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.3447555447, -76.6713943126)",09/16/2005
4527 032,5325 DENMORE AVE,ARLINGTON,5,NORTHWESTERN,"(39.349813506300002, -76.681217259999997)",10/19/2011
6069 091,4801 ABERDEEN AVE,FRANKFORD,2,NORTHEASTERN,"(39.319288043699999, -76.5510953263)",08/16/2013
2752 057,3901 FAIRFAX ROAD,CONCERNED CITIZENS OF FOREST PARK,6,NORTHWESTERN,"(39.321809264499997, -76.683044283000001)",03/23/2010
3183A024,2802 OSWEGO AVE,TOWANDA-GRANTLEY,6,NORTHWESTERN,"(39.334927256599997, -76.665523683700002)",01/09/2009
3013 003,2005 N LONGWOOD ST,WALBROOK,7,SOUTHWESTERN,"(39.310373393299997, -76.667343348700001)",08/24/2006
0110 034,621 N MOUNT ST,HARLEM PARK,9,WESTERN,"(39.2959859443, -76.643902725800004)",07/26/2013
3427 062,2018 LINDEN AVE,RESERVOIR HILL,7,CENTRAL,"(39.311211952699999, -76.633479014399995)",09/09/2008
4607 031,3520 WOODLAND AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.341967387700002, -76.673804815400004)",01/20/2009
5152 015,5410 READY AVE,MID-GOVANS,4,NORTHERN,"(39.356103587699998, -76.608550094799995)",06/18/2013
1627 075,722 N BELNORD AVE,MADISON-EASTEND,13,EASTERN,"(39.299672918299997, -76.578998531899998)",04/02/2008
3825 036,2417 BRENTWOOD AVE,BARCLAY,12,EASTERN,"(39.3167519828, -76.610133042800001)",06/21/2013
7095C007,3704 BROOKLYN AVE,BROOKLYN,10,SOUTHERN,"(39.234644945900001, -76.600148173400001)",04/29/2011
0299 067,508 BAKER ST,DRUID HEIGHTS,7,CENTRAL,"(39.309783664999998, -76.638669396400005)",03/27/2008
0288 082,431 S BENTALOU ST,CARROLLTON RIDGE,9,SOUTHWESTERN,"(39.281980165599997, -76.652276418499994)",12/24/2008
1125 064,1509 N EDEN ST,OLIVER,12,EASTERN,"(39.307560999400003, -76.599459508099997)",03/23/2012
4606 016,3332 WOODLAND AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.343477360400001, -76.673188301099998)",03/22/2012
3953 021,1623 E 30TH ST,COLDSTREAM HOMESTEAD MONTEBELLO,14,NORTHEASTERN,"(39.325131050300001, -76.592339897599999)",06/29/2011
0376 022,515 MOSHER ST,UPTON,11,CENTRAL,"(39.302848992900003, -76.631022494099994)",08/13/2013
0699 001A,408 S MONROE ST,CARROLLTON RIDGE,9,SOUTHERN,"(39.282836632200002, -76.646869319000004)",11/08/2005
0036B052,1325 PRESSTMAN ST,SANDTOWN-WINCHESTER,7,WESTERN,"(39.305311414999998, -76.640231551100001)",03/29/2008
1109 093,1709 N BETHEL ST,OLIVER,12,EASTERN,"(39.310033306599998, -76.595866770599997)",11/29/2011
3448 043,606 RESERVOIR ST,RESERVOIR HILL,7,CENTRAL,"(39.313053236999998, -76.627213997400005)",10/23/2012
2975 077,3966 PENHURST AVE,DOLFIELD,6,NORTHWESTERN,"(39.338938190999997, -76.684491686800001)",07/19/2013
0430 030,846 HARLEM AVE,UPTON,11,CENTRAL,"(39.297084181099997, -76.632159848399994)",04/23/2008
2441 007,1612 N ELLAMONT ST,ROSEMONT,9,SOUTHWESTERN,"(39.306117676900001, -76.671080403700003)",09/04/2008
0280 093,304 S NORRIS ST,NEW SOUTHWEST/MOUNT CLARE,9,SOUTHERN,"(39.284146593199999, -76.640173219700003)",04/30/2007
1650 043,2010 JEFFERSON ST,CARE,13,EASTERN,"(39.296644021799999, -76.588783189599994)",07/23/2013
4164B032,2120 N WOLFE ST,DARLEY PARK,12,EASTERN,"(39.314941770899999, -76.592174051900002)",09/06/2012
0062 011,1020 N STRICKER ST,SANDTOWN-WINCHESTER,9,WESTERN,"(39.300575051099997, -76.641902342099996)",11/24/2008
2345 025,849 N BENTALOU ST,MIDTOWN-EDMONDSON,9,WESTERN,"(39.298333418299997, -76.653148610000002)",12/05/2012
0215 043,1300 HOLLINS ST,UNION SQUARE,9,SOUTHERN,"(39.287775660000001, -76.638245994599998)",04/15/2008
4613 012,3029 W GARRISON AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.3480446855, -76.672002495800001)",08/23/2013
1568 020,2015 E CHASE ST,MIDDLE EAST,13,EASTERN,"(39.303219806400001, -76.589346210000002)",08/05/2011
2275B009,18 N HILTON ST,SAINT JOSEPHS,8,SOUTHWESTERN,"(39.286863534799998, -76.672642292399999)",08/27/2010
1118 055,1608 N BROADWAY,OLIVER,12,EASTERN,"(39.308796291599997, -76.595286741400002)",06/29/2007
0178 012,1823 W LEXINGTON ST,FRANKLIN SQUARE,9,WESTERN,"(39.290306434100003, -76.646151218499995)",12/30/2008
1608 089,811 N PORT ST,MILTON-MONTFORD,13,EASTERN,"(39.300376530599998, -76.582922284199995)",05/24/2013
7088 027,3616 SAINT VICTOR ST,BROOKLYN,10,SOUTHERN,"(39.233842596499997, -76.597155107000006)",08/03/2010
0129 114,910 BENNETT PL,HARLEM PARK,9,WESTERN,"(39.295176329, -76.632713901399995)",11/06/2009
3423 001,2224 MADISON AVE,RESERVOIR HILL,7,CENTRAL,"(39.310887127800001, -76.636417540300002)",02/25/2013
1467 030,1616 N WOLFE ST,BROADWAY EAST,12,EASTERN,"(39.3090704707, -76.591788890900006)",01/30/2008
0151 031,324 N STRICKER ST,FRANKLIN SQUARE,9,WESTERN,"(39.292817490300003, -76.641465884400006)",10/28/2008
1569 014,2127 E CHASE ST,MIDDLE EAST,13,EASTERN,"(39.303322566200002, -76.587400712999994)",03/12/2010
0002 035,1943 W NORTH AVE,EASTERWOOD,7,WESTERN,"(39.3094751004, -76.649486992600004)",05/01/2009
3311 023,2701 CLASSEN AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.337412152299997, -76.665381756000002)",02/15/2012
0057 002,1002 N PAYSON ST,BRIDGEVIEW/GREENLAWN,9,WESTERN,"(39.2998969645, -76.649587897700002)",04/22/2010
1477 054,1502 RUTLAND AVE,BROADWAY EAST,12,EASTERN,"(39.307915792300001, -76.5930264932)",10/26/2010
0204 072,2217 BOOTH ST,BOYD-BOOTH,9,SOUTHWESTERN,"(39.287300337799998, -76.652198513299993)",03/06/2008
3304 014,2631 W COLD SPRING LANE,CENTRAL PARK HEIGHTS,6,NORTHERN,"(39.339736606700001, -76.665684360300006)",11/30/2012
2385 037,2872 W LANVALE ST,MOSHER,9,WESTERN,"(39.2973793934, -76.6648103518)",08/17/2012
4059 048,636 MCKEWIN AVE,WAVERLY,14,NORTHERN,"(39.3330734034, -76.606340179599997)",01/29/2010
0249 007,1214 W PRATT ST,HOLLINS MARKET,9,SOUTHERN,"(39.285835234700002, -76.636982231999994)",10/06/2008
0055B022,1142 N CAREY ST,SANDTOWN-WINCHESTER,9,WESTERN,"(39.302071488000003, -76.639136445000005)",02/06/2008
2470 064,929 N FRANKLINTOWN ROAD,FRANKLINTOWN ROAD,9,SOUTHWESTERN,"(39.298604159900002, -76.666762092599996)",01/02/2009
3413 056,2411 FRANCIS ST,PENN NORTH,7,WESTERN,"(39.311727576599999, -76.640401953899996)",12/27/2005
0049 032,1105 APPLETON ST,MIDTOWN-EDMONDSON,9,WESTERN,"(39.301310810099999, -76.648275165300007)",02/27/2009
3233 019,2301 WHITTIER AVE,PARKVIEW/WOODBROOK,7,WESTERN,"(39.316196756799997, -76.647771063600004)",03/01/2011
0150 013,324 N GILMOR ST,FRANKLIN SQUARE,9,WESTERN,"(39.292850498999996, -76.642886161899995)",08/24/2012
1446 082,1804 N REGESTER ST,BROADWAY EAST,12,EASTERN,"(39.3110832088, -76.594337165499994)",03/01/2013
2283 005,3411 EDMONDSON AVE,LOWER EDMONDSON VILLAGE,8,SOUTHWESTERN,"(39.293784620499999, -76.674509109799999)",08/22/2013
0280 045,343 S STRICKER ST,NEW SOUTHWEST/MOUNT CLARE,9,SOUTHERN,"(39.2835979241, -76.640424546999995)",05/29/2007
4616 106,4802 PALMER AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.346171776799999, -76.6710432486)",03/29/2008
1606 052,802 N PATTERSON PARK AVE,MIDDLE EAST,13,EASTERN,"(39.2999287524, -76.585466178199994)",07/20/2012
0163 066,240 N FULTON AVE,FRANKLIN SQUARE,9,WESTERN,"(39.291693448099998, -76.645661665000006)",12/01/2003
1522 016,1331 N LUZERNE AVE,BEREA,13,EASTERN,"(39.306684568400001, -76.581120516799999)",08/16/2007
7267 009,3708 PENNINGTON AVE,CURTIS BAY,10,SOUTHERN,"(39.231088511199999, -76.589252739299994)",01/02/2012
0272 035,331 S SMALLWOOD ST,CARROLLTON RIDGE,9,SOUTHWESTERN,"(39.283344036000003, -76.650938940900005)",01/10/2008
1121 010,1518 HOLBROOK ST,OLIVER,12,EASTERN,"(39.307570370400001, -76.6033941333)",06/15/2007
3402 019,2736 PENNSYLVANIA AVE,PENN NORTH,7,WESTERN,"(39.312917381399998, -76.646225186099997)",04/08/2005
8361 006,4411 KATHLAND AVE,HOWARD PARK,8,NORTHWESTERN,"(39.326626845900002, -76.694232542699993)",03/18/2011
2419 007,1612 POPLAR GROVE ST,NORTHWEST COMMUNITY ACTION,7,SOUTHWESTERN,"(39.306401743999999, -76.665885309299995)",06/26/2008
3403 048,2622 WOODBROOK AVE,PENN NORTH,7,WESTERN,"(39.313597771399998, -76.645215377699998)",09/30/2010
1557 029,1112 N LAKEWOOD AVE,BIDDLE STREET,13,EASTERN,"(39.304360920299999, -76.580058698800002)",12/01/2011
3341 001,3801 PARK HEIGHTS AVE,GREENSPRING,6,NORTHERN,"(39.332278303099997, -76.660495385499999)",11/23/2010
0027 018,1434 N MOUNT ST,SANDTOWN-WINCHESTER,7,WESTERN,"(39.3049835789, -76.644979926000005)",08/06/2012
3903 030,509 ROSE HILL TERR,PEN LUCY,4,NORTHERN,"(39.3384816736, -76.608605222799994)",09/14/2011
1209 014,1427 E EAGER ST,GAY STREET,12,EASTERN,"(39.301510091499999, -76.598516618100007)",10/02/2008
0205 066,2111 BOOTH ST,BOYD-BOOTH,9,SOUTHWESTERN,"(39.287367663799998, -76.650678426599995)",08/09/2005
3005 040,1904 N DUKELAND ST,WALBROOK,7,SOUTHWESTERN,"(39.309706537700002, -76.664285113999995)",04/27/1994
4604A004,4807 WILERN AVE,CENTRAL PARK HEIGHTS,6,NORTHWESTERN,"(39.344405851600001, -76.674355610899994)",04/08/2009
2176 046,105 S FRANKLINTOWN ROAD,SHIPLEY HILL,9,SOUTHWESTERN,"(39.285113476200003, -76.657824059399999)",01/15/2009
1460 029,1718 N COLLINGTON AVE,BROADWAY EAST,12,EASTERN,"(39.310606384700002, -76.587639291399995)",11/09/2012
0239 030,208 FURROW ST,CARROLLTON RIDGE,9,SOUTHWESTERN,"(39.284418514800002, -76.652196654400001)",08/20/2008
0107 047,609 N PAYSON ST,MIDTOWN-EDMONDSON,9,WESTERN,"(39.295631866900003, -76.648808376399998)",10/29/2007
5393 018,2801 HAMILTON AVE,HAMILTON HILLS,3,NORTHEASTERN,"(39.354044864800002, -76.563869010700003)",05/21/2013
0414 047,1340 DIVISION ST,UPTON,11,CENTRAL,"(39.301638859500002, -76.630565262499999)",12/24/2007
1118 054,1610 N BROADWAY,OLIVER,12,EASTERN,"(39.3088370109, -76.595289283699998)",05/13/2008
3205 041,2120 HERBERT ST,MONDAWMIN,7,WESTERN,"(39.310325321999997, -76.652209561099994)",09/20/2005
3410 018,2527 FRANCIS ST,PENN NORTH,7,WESTERN,"(39.313398720199999, -76.642272282999997)",01/06/2006
3408 030,2544 FRANCIS ST,PENN NORTH,7,WESTERN,"(39.313410429199998, -76.6431145663)",04/01/2011
1520 039,2433 E HOFFMAN ST,BROADWAY EAST,13,EASTERN,"(39.306685169600001, -76.583187344600006)",02/13/2009
7643 075,2834 BOOKERT DR,CHERRY HILL,10,SOUTHERN,"(39.246822546300002, -76.627192948599998)",08/25/2008
0262 066,210 S GILMOR ST,NEW SOUTHWEST/MOUNT CLARE,9,SOUTHERN,"(39.285051880399998, -76.642425247099993)",09/29/2009
5733D102,5806 PLUMER AVE,CEDMONT,2,NORTHEASTERN,"(39.3423869776, -76.531570371100003)",10/11/2013
4157 026,1920 N WASHINGTON ST,SOUTH CLIFTON PARK,12,EASTERN,"(39.312854135400002, -76.590713310699996)",03/22/2010
3210 058,2000 N MONROE ST,MONDAWMIN,7,WESTERN,"(39.311196168800002, -76.648491046800004)",05/14/2010
2170B067,2553 W FAIRMOUNT AVE,SHIPLEY HILL,9,SOUTHWESTERN,"(39.288109906300001, -76.657908653000007)",06/28/2012
1533 011,2020 E BIDDLE ST,BROADWAY EAST,12,EASTERN,"(39.304703847399999, -76.589316590099997)",04/11/2008
4544A023,5266 CORDELIA AVE,ARLINGTON,5,NORTHWESTERN,"(39.346573587000002, -76.682900278600002)",07/11/2011
3350J061,2518 LOYOLA NORTHWAY,GREENSPRING,6,NORTHERN,"(39.340071198899999, -76.661018001299993)",06/25/2010
4806 028,2909 DUPONT AVE,PARKLANE,6,NORTHERN,"(39.343978015200001, -76.664389370999999)",07/05/2005
1101 071,1804 N DALLAS ST,OLIVER,12,EASTERN,"(39.310937469400002, -76.597832783399994)",05/09/2011
0791 051,1148 NANTICOKE ST,WASHINGTON VILLAGE/PIGTOWN,10,SOUTHERN,"(39.280718798199999, -76.631352675499997)",06/18/2013
